samples	represented_reads	min_substantive_abundance_reason	maximum_variation_allowed_reason
EP_A_AREN_EG_8654	13623	2866	922
EP_A_AREN_EG_8698	9129	2830	486
EP_A_AREN_GL_8465	6102	1361	322
EP_A_AREN_GL_8507	17106	5845	675
EP_A_AREN_GL_8508	6082	1893	335
EP_A_AREN_GL_8515	5174	1168	258
EP_A_AREN_GL_8520	6130	2449	309
EP_A_AREN_GL_8624	12986	2134	474
EP_A_AREN_GL_8625	20925	7974	1304
EP_A_AREN_GL_8626	11079	1082	276
EP_A_AREN_GL_8627	6170	837	158
EP_A_AREN_GL_8650	12188	3612	611
EP_A_AREN_GL_8651	10993	993	634
EP_A_AREN_GL_8652	11944	1935	275
EP_A_AREN_GL_8654	185675	28218	7069
EP_A_AREN_GL_8658	6733	1593	376
EP_A_AREN_GL_8697	17757	2348	356
EP_A_AREN_GL_8698	12460	1053	217
EP_A_AREN_GL_8699	11679	3874	533
EP_A_AREN_HP_8465	9655	1137	234
EP_A_AREN_HP_8507	13432	7440	2059
EP_A_AREN_HP_8508	3771	2874	1606
EP_A_AREN_HP_8515	12954	2464	580
EP_A_AREN_HP_8520	8453	888	295
EP_A_AREN_HP_8624	9766	2043	598
EP_A_AREN_HP_8626	19972	2398	532
EP_A_AREN_HP_8627	7497	1154	331
EP_A_AREN_HP_8650	17899	1268	432
EP_A_AREN_HP_8651	6228	2219	846
EP_A_AREN_HP_8652	9340	1203	287
EP_A_AREN_HP_8654	12697	1044	229
EP_A_AREN_HP_8658	4796	1690	360
EP_A_AREN_HP_8697	15550	1182	199
EP_A_AREN_HP_8698	132902	29824	13056
EP_A_AREN_HP_8699	11262	4866	1188
EP_A_AREN_HP_9195	28235	9439	1299
EP_A_AREN_MG_8465	3888	1749	346
EP_A_AREN_MG_8507	12576	10478	2205
EP_A_AREN_MG_8508	6225	4456	1468
EP_A_AREN_MG_8515	7261	1862	523
EP_A_AREN_MG_8520	8927	2794	1196
EP_A_AREN_MG_8624	5257	3736	1261
EP_A_AREN_MG_8627	5638	911	260
EP_A_AREN_MG_8650	6616	2779	1192
EP_A_AREN_MG_8651	9817	900	334
EP_A_AREN_MG_8652	8398	3326	1129
EP_A_AREN_MG_8654	6562	871	261
EP_A_AREN_MG_8699	7854	4341	1153
EP_A_AREN_ST_8465	5493	953	242
EP_A_AREN_ST_8507	12410	12378	1881
EP_A_AREN_ST_8508	7061	2316	497
EP_A_AREN_ST_8515	6049	2541	838
EP_A_AREN_ST_8520	13226	628	100
EP_A_AREN_ST_8624	13962	1631	317
EP_A_AREN_ST_8627	2033	1209	227
EP_A_AREN_ST_8650	13606	12384	914
EP_A_AREN_ST_8652	13996	1650	526
EP_A_AREN_ST_8654	11940	2986	705
EP_A_AREN_ST_8697	11959	2139	472
EP_A_AREN_ST_8699	8521	750	130
EP_A_FASC_EG_8989	15383	2465	818
EP_A_FASC_EG_9019	13456	2623	970
EP_A_FASC_EG_9053	8081	2061	473
EP_A_FASC_GL_8614	32899	18828	7401
EP_A_FASC_GL_9016	4223	1044	256
EP_A_FASC_GL_9019	12533	2644	609
EP_A_FASC_GL_9020	14103	2436	407
EP_A_FASC_GL_9051	7586	2482	338
EP_A_FASC_HP_9020	23359	2083	212
EP_A_FASC_HP_9056	27352	4675	867
EP_A_FASC_HP_9107	115123	22852	5094
EP_A_FASC_MG_9051	150590	34469	8341
EP_A_FASC_MG_9056	27917	2281	287
EP_A_FASC_ST_8614	38950	6659	1021
EP_A_FASC_ST_8989	14009	4250	741
EP_A_FASC_ST_9052	2201	249	52
EP_A_GALA_EG_9164	11211	9140	2161
EP_A_GALA_GL_7367	10504	5050	772
EP_A_GALA_GL_8978	9515	6552	1318
EP_A_GALA_GL_9003	33425	10374	1597
EP_A_GALA_GL_9079	9253	4937	505
EP_A_GALA_HP_9003	13786	16048	4966
EP_A_GALA_MG_8970	37108	10779	652
EP_A_GALA_MG_9164	9634	1307	741
EP_A_GALA_MG_9186	11058	3684	849
EP_A_GALA_ST_8971	18827	3910	550
EP_A_GALA_ST_9164	14259	570	216
EP_A_GALA_ST_9186	14036	2301	799
EP_A_HEBE_GL_7359	20694	5471	808
EP_A_HEBE_HP_8986	7063	8667	7236
EP_A_HEBE_MG_8984	25943	552	79
EP_A_HYEY_EG_8955	3512	566	280
EP_A_HYEY_EG_8957	12546	2298	892
EP_A_HYEY_EG_8959	5698	3227	1303
EP_A_HYEY_EG_8962	11742	2845	900
EP_A_HYEY_EG_9013	8484	3245	818
EP_A_HYEY_EG_9045	18587	3754	782
EP_A_HYEY_EG_9199	13007	7085	1987
EP_A_HYEY_GL_8881	43952	7447	1619
EP_A_HYEY_GL_8955	8168	522	182
EP_A_HYEY_GL_8956	13025	2116	411
EP_A_HYEY_GL_8957	12949	7125	1018
EP_A_HYEY_GL_8958	13240	2743	514
EP_A_HYEY_GL_8959	9633	2244	773
EP_A_HYEY_GL_8960	4819	9408	1284
EP_A_HYEY_GL_8961	2838	4664	988
EP_A_HYEY_GL_8962	9560	1196	425
EP_A_HYEY_GL_8963	21227	2659	496
EP_A_HYEY_GL_8964	18328	7950	1276
EP_A_HYEY_GL_9009	11134	3328	473
EP_A_HYEY_GL_9011	18101	3566	1569
EP_A_HYEY_GL_9013	15732	2445	549
EP_A_HYEY_GL_9045	24957	1599	548
EP_A_HYEY_GL_9046	16073	4840	726
EP_A_HYEY_GL_9047	30097	1443	549
EP_A_HYEY_GL_9198	29875	6103	1456
EP_A_HYEY_GL_9199	4824	4009	771
EP_A_HYEY_HP_8955	6074	748	119
EP_A_HYEY_HP_8956	17487	1747	943
