Sample_ID	raw_reads	initial_screen	screen_after_align	remove_nc_reads	remove_nc	nochim	no_contam
Control_1	4813	4546	4546	1421	NA	NA	NA
Control_10	4854	3336	3336	269	NA	NA	NA
Control_11	6264	5759	5759	3	NA	NA	NA
Control_12	5840	891	891	2	NA	NA	NA
Control_13	1230	683	682	63	NA	NA	NA
Control_14	491	200	200	20	NA	NA	NA
Control_15	3303	1551	1551	NA	NA	NA	NA
Control_16	957	740	740	322	NA	NA	NA
Control_17	318	147	147	3	NA	NA	NA
Control_18	724	625	625	NA	NA	NA	NA
Control_19	865	611	611	118	NA	NA	NA
Control_2	4153	3692	3692	9	NA	NA	NA
Control_20	451	308	308	115	NA	NA	NA
Control_21	1069	706	706	NA	NA	NA	NA
Control_22	1014	566	566	127	NA	NA	NA
Control_23	272	105	105	2	NA	NA	NA
Control_24	204	151	151	3	NA	NA	NA
Control_25	1253	1131	1131	193	NA	NA	NA
Control_26	3289	2902	2902	58	NA	NA	NA
Control_27	2151	1706	1706	5	NA	NA	NA
Control_28	34332	7962	7948	1501	NA	NA	NA
Control_29	1782	465	450	1	NA	NA	NA
Control_3	6932	2109	2109	2	NA	NA	NA
Control_30	1698	744	744	4	NA	NA	NA
Control_31	19541	8676	8676	3235	NA	NA	NA
Control_32	4691	1893	1893	10	NA	NA	NA
Control_33	3475	435	435	6	NA	NA	NA
Control_34	9880	6029	6028	2283	NA	NA	NA
Control_35	6684	3417	3417	263	NA	NA	NA
Control_36	4907	1620	1620	1	NA	NA	NA
Control_37	9610	7214	7214	2419	NA	NA	NA
Control_38	7904	5844	5844	7	NA	NA	NA
Control_39	15311	6397	6395	544	NA	NA	NA
Control_4	2445	2259	2258	386	NA	NA	NA
Control_40	1720	1408	1408	369	NA	NA	NA
Control_41	725	478	478	5	NA	NA	NA
Control_42	1586	898	897	2	NA	NA	NA
Control_43	5324	4144	4143	1943	NA	NA	NA
Control_44	6170	293	293	11	NA	NA	NA
Control_45	3477	2716	2716	6	NA	NA	NA
Control_46	3570	2924	2924	244	NA	NA	NA
Control_47	2509	1628	1628	156	NA	NA	NA
Control_48	2964	657	657	2	NA	NA	NA
Control_49	58	57	57	40	NA	NA	NA
Control_5	833	772	772	NA	NA	NA	NA
Control_50	576	529	529	9	NA	NA	NA
Control_51	1639	1219	1219	1	NA	NA	NA
Control_52	6259	5813	5813	1255	NA	NA	NA
Control_53	4189	3060	3060	5	NA	NA	NA
Control_54	4398	3523	3518	511	NA	NA	NA
Control_55	14670	12167	12019	1116	NA	NA	NA
Control_56	11501	6654	6653	8	NA	NA	NA
Control_57	9298	8429	8421	17	NA	NA	NA
Control_58	19334	16512	16486	5453	NA	NA	NA
Control_59	18531	10326	10322	12	NA	NA	NA
Control_6	2657	2370	2370	2	NA	NA	NA
Control_60	23809	12580	12578	1194	NA	NA	NA
Control_7	3412	3124	3122	308	NA	NA	NA
Control_8	9156	1970	1970	14	NA	NA	NA
Control_9	3731	3404	3403	150	NA	NA	NA
EP_A_AREN_EG_8651	17019	16262	15900	15899	15899	14666	14666
EP_A_AREN_EG_8654	19586	18614	18596	18556	18556	17411	17411
EP_A_AREN_EG_8698	13996	13327	13303	13288	13288	12445	12445
EP_A_AREN_EG_9196	9741	7294	6581	6580	6580	5867	5867
EP_A_AREN_GL_8465	8995	8313	8213	8206	8206	7785	7785
EP_A_AREN_GL_8507	27436	25287	25222	25198	25198	23626	23626
EP_A_AREN_GL_8508	9866	8839	8619	8614	8614	8311	8310
EP_A_AREN_GL_8515	8081	7110	7084	7080	7080	6600	6600
EP_A_AREN_GL_8520	9888	9381	9344	9248	9248	8890	8888
EP_A_AREN_GL_8624	19816	18588	18458	18455	18455	15594	15594
EP_A_AREN_GL_8625	34760	32019	31998	31969	31969	30203	30203
EP_A_AREN_GL_8626	14100	13403	13337	13332	13332	12437	12437
EP_A_AREN_GL_8627	8592	8216	7987	7986	7986	7165	7165
EP_A_AREN_GL_8650	19245	17988	17604	17598	17598	16411	16411
EP_A_AREN_GL_8651	14257	13664	13574	13572	13572	12620	12620
EP_A_AREN_GL_8652	16722	15999	15766	15764	15764	14154	14154
EP_A_AREN_GL_8654	247829	233451	232679	232218	232218	220975	220962
EP_A_AREN_GL_8658	9791	9296	9272	9270	9270	8723	8702
EP_A_AREN_GL_8697	23819	22022	22001	21969	21969	20461	20461
EP_A_AREN_GL_8698	14698	13977	13969	13961	13961	13730	13730
EP_A_AREN_GL_8699	18380	17478	17191	17190	17190	16086	16086
EP_A_AREN_GL_9195	32359	30422	29209	29197	29197	26650	26650
EP_A_AREN_GL_9196	7138	5316	5043	5042	5042	4613	4613
EP_A_AREN_HP_8465	12222	11304	11201	11196	11196	11026	11026
EP_A_AREN_HP_8507	34287	23938	23913	23432	23432	22931	22931
EP_A_AREN_HP_8508	9244	8529	8510	8493	8493	8300	8251
EP_A_AREN_HP_8515	19310	16388	16339	16243	16243	15998	15998
EP_A_AREN_HP_8520	10560	9913	9904	9739	9739	9636	9636
EP_A_AREN_HP_8624	15965	14554	14439	14438	14438	12407	12407
EP_A_AREN_HP_8625	38631	37204	37204	37202	37202	36192	36192
EP_A_AREN_HP_8626	24957	23356	23316	23262	23262	22902	22902
EP_A_AREN_HP_8627	9639	9258	9207	9194	9194	8982	8982
EP_A_AREN_HP_8650	21429	19881	19862	19807	19807	19599	19599
EP_A_AREN_HP_8651	10972	9565	9532	9449	9449	9293	9293
EP_A_AREN_HP_8652	12230	11169	11139	11121	11121	10830	10830
EP_A_AREN_HP_8654	15241	14300	14285	14272	14272	13970	13970
EP_A_AREN_HP_8658	7683	7150	7077	6923	6923	6846	6846
EP_A_AREN_HP_8697	19761	17040	17040	16983	16983	16931	16931
EP_A_AREN_HP_8698	199871	182384	182172	181734	181734	175802	175782
EP_A_AREN_HP_8699	19284	17980	17824	17794	17794	17316	17316
EP_A_AREN_HP_9195	45509	40411	39853	39663	39663	38973	38973
EP_A_AREN_HP_9196	7813	5545	5389	5185	5185	5035	5035
EP_A_AREN_MG_8465	6896	6343	6307	6302	6302	5987	5983
EP_A_AREN_MG_8507	27773	26129	26064	25690	25690	25259	25259
EP_A_AREN_MG_8508	14132	12654	12434	12377	12377	12149	12149
