SampleID	raw_reads	initial_screen	screen_after_align	remove_nc_reads	remove_nc	nochim	no_contam
Control_1	4813	4546	4546	1842	NA	NA	NA
Control_10	4854	3336	3336	328	NA	NA	NA
Control_11	6264	5759	5759	1	NA	NA	NA
Control_12	5840	891	891	2	NA	NA	NA
Control_13	1230	683	682	108	NA	NA	NA
Control_14	491	200	200	19	NA	NA	NA
Control_15	3303	1551	1551	NA	NA	NA	NA
Control_16	957	740	740	346	NA	NA	NA
Control_17	318	147	147	3	NA	NA	NA
Control_18	724	625	625	NA	NA	NA	NA
Control_19	865	611	611	107	NA	NA	NA
Control_2	4153	3692	3692	8	NA	NA	NA
Control_20	451	308	308	148	NA	NA	NA
Control_21	1069	706	706	NA	NA	NA	NA
Control_22	1014	566	566	220	NA	NA	NA
Control_23	272	105	105	1	NA	NA	NA
Control_24	204	151	151	2	NA	NA	NA
Control_25	1253	1131	1131	240	NA	NA	NA
Control_26	3289	2902	2902	53	NA	NA	NA
Control_27	2151	1706	1706	1	NA	NA	NA
Control_28	34332	7962	7948	2147	NA	NA	NA
Control_29	1782	465	450	NA	NA	NA	NA
Control_3	6932	2109	2109	1	NA	NA	NA
Control_30	1698	744	744	1	NA	NA	NA
Control_31	19541	8676	8676	5281	NA	NA	NA
Control_32	4691	1893	1893	8	NA	NA	NA
Control_33	3475	435	435	6	NA	NA	NA
Control_34	9880	6029	6028	3273	NA	NA	NA
Control_35	6684	3417	3417	343	NA	NA	NA
Control_36	4907	1620	1620	1	NA	NA	NA
Control_37	9610	7214	7214	3589	NA	NA	NA
Control_38	7904	5844	5844	2	NA	NA	NA
Control_39	15311	6397	6395	711	NA	NA	NA
Control_4	2445	2259	2258	654	NA	NA	NA
Control_40	1720	1408	1408	512	NA	NA	NA
Control_41	725	478	478	2	NA	NA	NA
Control_42	1586	898	897	1	NA	NA	NA
Control_43	5324	4144	4143	2992	NA	NA	NA
Control_44	6170	293	293	13	NA	NA	NA
Control_45	3477	2716	2716	5	NA	NA	NA
Control_46	3570	2924	2924	328	NA	NA	NA
Control_47	2509	1628	1628	263	NA	NA	NA
Control_48	2964	657	657	1	NA	NA	NA
Control_49	58	57	57	41	NA	NA	NA
