Representative_Sequence	total_reads	total_reads_nc	total_reads_non_nc	perc_reads_in_nc	total_samp	num_nc_samp	num_non_nc_samp	perc_nc_samp
M06508_12_000000000-CJG44_1_1101_16846_2451	51955	31810	20145	61.226061	641	41	600	6.3962558502340086
M06508_18_000000000-CNPPR_1_1101_15534_2103	304220	2	304218	6.57e-4	1099	2	1097	0.18198362147406735
M06508_12_000000000-CJG44_1_1101_15015_3135	9474	900	8574	9.499683	386	8	378	2.072538860103627
M06508_12_000000000-CJG44_1_1101_15072_3643	39666	4326	35340	10.906066	751	6	745	0.7989347536617843
M06508_9_000000000-JTBW3_1_1106_8860_16108	509857	2	509855	3.92e-4	850	2	848	0.2352941176470588
M06508_9_000000000-JTBW3_1_1106_6953_16246	997443	9	997434	9.02e-4	571	5	566	0.8756567425569177
M06508_12_000000000-CJG44_1_1101_6089_5259	16100	8079	8021	50.180124	444	30	414	6.756756756756757
M06508_12_000000000-CJG44_1_1101_6178_6785	218	105	113	48.165138	2	1	1	50
M06508_9_000000000-JTBW3_1_1106_11164_16532	40439	1	40438	0.002473	662	1	661	0.1510574018126888
M06508_9_000000000-JTBW3_1_1106_20067_16678	20490	1728	18762	8.433382	306	6	300	1.9607843137254901
M06508_9_000000000-JTBW3_1_1106_12995_17117	1875	1549	326	82.613333	15	1	14	6.666666666666667
M06508_9_000000000-JTBW3_1_1106_5448_17124	920291	2	920289	2.17e-4	968	2	966	0.2066115702479339
M06508_18_000000000-CNPPR_1_1101_19738_3114	266949	1	266948	3.75e-4	1200	1	1199	0.08333333333333334
M06508_9_000000000-JTBW3_1_1106_15159_17448	3110	80	3030	2.572347	90	1	89	1.1111111111111112
M06508_9_000000000-JTBW3_1_1106_12384_17706	17519	1	17518	0.005708	45	1	44	2.2222222222222223
M06508_12_000000000-CJG44_1_1101_9695_8638	5417	784	4633	14.472956	318	5	313	1.5723270440251573
M06508_12_000000000-CJG44_1_1101_14019_8725	1	1	0	100	1	1	0	100
M06508_12_000000000-CJG44_1_1101_16821_9961	1	1	0	100	1	1	0	100
M06508_18_000000000-CNPPR_1_1101_17315_4227	48756	252	48504	0.516859	802	4	798	0.4987531172069825
M06508_12_000000000-CJG44_1_1101_6447_10741	482	230	252	47.717842	2	1	1	50
M06508_9_000000000-JTBW3_1_1106_16511_19227	13013	1916	11097	14.723738	521	6	515	1.1516314779270633
M06508_12_000000000-CJG44_1_1101_13000_11372	465	238	227	51.182796	3	1	2	33.33333333333333
M06508_19_000000000-CR8CR_1_1107_23880_4176	66789	4	66785	0.005989	239	4	235	1.6736401673640167
M06508_18_000000000-CNPPR_1_1101_13310_4686	89552	1	89551	0.001117	530	1	529	0.18867924528301888
