SampleID	OCEAN	SPECIES	TISSUE	ID	SITE	SITE2	HABITAT	TAXON	PAIR	GROUP	COMPLEX	RUN	PLATE
Control_1	CON	CON	CON	1	Control	Control	Control	Control	Control	Control	Control	BCS_26	Istmo_S5
Control_10	CON	CON	CON	10	Control	Control	Control	Control	Control	Control	Control	BCS_26	Istmo_S8
Control_11	CON	CON	CON	11	Control	Control	Control	Control	Control	Control	Control	BCS_26	Istmo_S8
Control_12	CON	CON	CON	12	Control	Control	Control	Control	Control	Control	Control	BCS_26	Istmo_S8
Control_13	CON	CON	CON	13	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S9
Control_14	CON	CON	CON	14	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S9
Control_15	CON	CON	CON	15	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S9
Control_16	CON	CON	CON	16	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S10
Control_17	CON	CON	CON	17	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S10
Control_18	CON	CON	CON	18	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S10
Control_19	CON	CON	CON	19	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S11
Control_2	CON	CON	CON	2	Control	Control	Control	Control	Control	Control	Control	BCS_26	Istmo_S5
Control_20	CON	CON	CON	20	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S11
Control_21	CON	CON	CON	21	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S11
Control_22	CON	CON	CON	22	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S12
Control_23	CON	CON	CON	23	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S12
Control_24	CON	CON	CON	24	Control	Control	Control	Control	Control	Control	Control	BCS_35	Istmo_S12
Control_25	CON	CON	CON	25	Control	Control	Control	Control	Control	Control	Control	BCS_34	Istmo_S1
Control_26	CON	CON	CON	26	Control	Control	Control	Control	Control	Control	Control	BCS_34	Istmo_S1
Control_27	CON	CON	CON	27	Control	Control	Control	Control	Control	Control	Control	BCS_34	Istmo_S1
Control_28	CON	CON	CON	28	Control	Control	Control	Control	Control	Control	Control	BCS_34	Istmo_S2
Control_29	CON	CON	CON	29	Control	Control	Control	Control	Control	Control	Control	BCS_34	Istmo_S2
Control_3	CON	CON	CON	3	Control	Control	Control	Control	Control	Control	Control	BCS_26	Istmo_S5
Control_30	CON	CON	CON	30	Control	Control	Control	Control	Control	Control	Control	BCS_34	Istmo_S2
Control_31	CON	CON	CON	31	Control	Control	Control	Control	Control	Control	Control	BCS_28	Istmo_S3
Control_32	CON	CON	CON	32	Control	Control	Control	Control	Control	Control	Control	BCS_28	Istmo_S3
Control_33	CON	CON	CON	33	Control	Control	Control	Control	Control	Control	Control	BCS_28	Istmo_S3
Control_34	CON	CON	CON	34	Control	Control	Control	Control	Control	Control	Control	BCS_28	Istmo_S4
Control_35	CON	CON	CON	35	Control	Control	Control	Control	Control	Control	Control	BCS_28	Istmo_S4
Control_36	CON	CON	CON	36	Control	Control	Control	Control	Control	Control	Control	BCS_28	Istmo_S4
Control_37	CON	CON	CON	37	Control	Control	Control	Control	Control	Control	Control	BCS_29	Istmo_S13
Control_38	CON	CON	CON	38	Control	Control	Control	Control	Control	Control	Control	BCS_29	Istmo_S13
Control_39	CON	CON	CON	39	Control	Control	Control	Control	Control	Control	Control	BCS_29	Istmo_S13
Control_4	CON	CON	CON	4	Control	Control	Control	Control	Control	Control	Control	BCS_26	Istmo_S6
Control_40	CON	CON	CON	40	Control	Control	Control	Control	Control	Control	Control	BCS_29	Istmo_S14
Control_41	CON	CON	CON	41	Control	Control	Control	Control	Control	Control	Control	BCS_29	Istmo_S14
Control_42	CON	CON	CON	42	Control	Control	Control	Control	Control	Control	Control	BCS_29	Istmo_S14
Control_43	CON	CON	CON	43	Control	Control	Control	Control	Control	Control	Control	BCS_29	Istmo_S15
Control_44	CON	CON	CON	44	Control	Control	Control	Control	Control	Control	Control	BCS_29	Istmo_S15
Control_45	CON	CON	CON	45	Control	Control	Control	Control	Control	Control	Control	BCS_29	Istmo_S15
Control_46	CON	CON	CON	46	Control	Control	Control	Control	Control	Control	Control	BCS_29	Istmo_S16
Control_47	CON	CON	CON	47	Control	Control	Control	Control	Control	Control	Control	BCS_29	Istmo_S16
Control_48	CON	CON	CON	48	Control	Control	Control	Control	Control	Control	Control	BCS_29	Istmo_S16
Control_49	CON	CON	CON	49	Control	Control	Control	Control	Control	Control	Control	BCS_30	Istmo_S17
Control_5	CON	CON	CON	5	Control	Control	Control	Control	Control	Control	Control	BCS_26	Istmo_S6
Control_50	CON	CON	CON	50	Control	Control	Control	Control	Control	Control	Control	BCS_30	Istmo_S17
Control_51	CON	CON	CON	51	Control	Control	Control	Control	Control	Control	Control	BCS_30	Istmo_S17
Control_52	CON	CON	CON	52	Control	Control	Control	Control	Control	Control	Control	BCS_30	Istmo_S18
Control_53	CON	CON	CON	53	Control	Control	Control	Control	Control	Control	Control	BCS_30	Istmo_S18
Control_54	CON	CON	CON	54	Control	Control	Control	Control	Control	Control	Control	BCS_30	Istmo_S18
Control_55	CON	CON	CON	55	Control	Control	Control	Control	Control	Control	Control	BCS_30	Istmo_S19
